"car_make","car_model","year","zero_to_sixty_time","avg_speed_per_brand","speed_diff"
"Acura","NSX",2022,"2.70","2.75","0.05"
"Alfa Romeo","Giulia Quadrifoglio",2021,"3.80","3.92","0.12"
"Aston Martin","DBS Superleggera",2021,"3.20","3.48","0.28"
"Audi","RS 6 Avant",2022,"3.10","3.55","0.45"
"Bentley","Continental GT",2022,"3.30","3.53","0.23"
"BMW","M8",2022,"3.10","3.88","0.78"
"Bugatti","Chiron",2021,"2.30","2.39","0.09"
"Chevrolet","Corvette Z06",2023,"2.60","3.61","1.01"
"Dodge","Viper ACR",2017,"3.30","3.60","0.30"
"Ferrari","SF90 Stradale",2021,"2.50","2.86","0.36"
"Ford","GT",2022,"2.80","3.27","0.47"
"Jaguar","F-Type",2021,"3.50","4.36","0.86"
"Koenigsegg","Jesko Absolut",2022,"2.10","2.47","0.37"
"Lamborghini","Sián",2021,"2.80","3.03","0.23"
"Lexus","LC 500",2022,"4.40","4.40","0.00"
"Lotus","Evija",2021,"2.00","3.57","1.57"
"Maserati","GranTurismo",2021,"2.80","4.59","1.79"
"McLaren","Speedtail",2021,"2.50","2.99","0.49"
"Mercedes-AMG","GT Black Series",2021,"3.10","3.46","0.36"
"Mercedes-Benz","SLS AMG",2021,"2.90","3.66","0.76"
"Nissan","GT-R Nismo",2021,"2.50","4.75","2.25"
"Pagani","Huayra Roadster BC",2021,"2.50","2.80","0.30"
"Porsche","918 Spyder",2015,"2.20","4.06","1.86"
"Rimac","C_Two",2021,"1.80","1.86","0.06"
"Rolls-Royce","Wraith",2021,"4.30","4.39","0.09"
"Tesla","Roadster",2023,"1.90","1.92","0.02"
"Toyota","Supra",2022,"3.90","3.90","0.00"
